,abbr_name,team,full_name
440,J. Sampson,IND,JaKarr Sampson
441,D. Saric,PHO,Dario Saric
442,T. Satoransky,CHI,Tomas Satoransky
443,D. Schroder,LAL,Dennis Schroder
444,M. Scott,PHI,Mike Scott
445,C. Sexton,CLE,Collin Sexton
446,L. Shamet,BRK,Landry Shamet
447,I. Shumpert,BRK,Iman Shumpert
448,P. Siakam,TOR,Pascal Siakam
449,C. Silva,MIA,Chris Silva
450,B. Simmons,PHI,Ben Simmons
451,A. Simons,POR,Anfernee Simons
452,D. Sirvydis,DET,Deividas Sirvydis
453,M. Smart,BOS,Marcus Smart
454,D. Smith,TOT,Dennis Smith Jr.
455,D. Smith,NYK,Dennis Smith Jr.
456,D. Smith,DET,Dennis Smith Jr.
457,I. Smith,WAS,Ish Smith
459,J. Smith,PHO,Jalen Smith
460,T. Snell,ATL,Tony Snell
461,R. Spalding,HOU,Ray Spalding
462,C. Stanley,IND,Cassius Stanley
463,L. Stevens,CLE,Lamar Stevens
464,I. Stewart,DET,Isaiah Stewart
465,M. Strus,MIA,Max Strus
466,E. Sumner,IND,Edmond Sumner
467,J. Tate,HOU,Jae'Sean Tate
468,J. Tatum,BOS,Jayson Tatum
469,J. Teague,BOS,Jeff Teague
470,G. Temple,CHI,Garrett Temple
471,T. Terry,DAL,Tyrell Terry
472,D. Theis,BOS,Daniel Theis
473,B. Thomas,HOU,Brodric Thomas
474,M. Thomas,TOR,Matt Thomas
475,T. Thompson,BOS,Tristan Thompson
476,S. Thornwell,NOP,Sindarius Thornwell
477,M. Thybulle,PHI,Matisse Thybulle
478,X. Tillman,MEM,Xavier Tillman Sr.
480,O. Toppin,NYK,Obi Toppin
481,J. Toscano-Anderson,GSW,Juan Toscano-Anderson
482,K. Towns,MIN,Karl-Anthony Towns
483,G. Trent,POR,Gary Trent Jr.
484,P. Tucker,HOU,P.J. Tucker
485,M. Turner,IND,Myles Turner
486,J. Valanciunas,MEM,Jonas Valanciunas
487,D. Valentine,CHI,Denzel Valentine
488,J. Vanderbilt,MIN,Jarred Vanderbilt
489,F. VanVleet,TOR,Fred VanVleet
490,D. Vassell,SAS,Devin Vassell
491,G. Vincent,MIA,Gabe Vincent
492,N. Vonleh,BRK,Noah Vonleh
493,N. Vucevic,ORL,Nikola Vucevic
494,D. Wade,CLE,Dean Wade
495,M. Wagner,WAS,Moritz Wagner
496,K. Walker,BOS,Kemba Walker
497,L. Walker,SAS,Lonnie Walker
498,J. Wall,HOU,John Wall
499,B. Wanamaker,GSW,Brad Wanamaker
501,T. Warren,IND,T.J. Warren
502,P. Washington,CHO,P.J. Washington
503,Y. Watanabe,TOR,Yuta Watanabe
504,T. Waters,BOS,Tremont Waters
